year,engine_volume,mileage,horsepower,price
2016,1.9,184584.0,165.0,29114.52
2023,2.4,297781.0,208.0,32097.98
2012,2.6,132354.0,226.0,42856.94
2020,3.2,38389.0,278.0,54833.61
2006,2.4,102724.0,208.0,38500.05
1996,2.2,81257.0,191.0,30304.61
2004,3.4,156079.0,295.0,55083.94
1998,3.0,138844.0,261.0,43232.93
2008,2.9,67909.0,252.0,45850.7
2010,2.6,78326.0,226.0,46881.68
2009,3.3,101997.0,287.0,54427.17
2002,2.0,108032.0,174.0,33721.46
2008,1.9,117891.0,165.0,30596.43
2017,3.1,122444.0,269.0,51618.39
2022,1.2,181743.0,104.0,21767.48
2019,2.6,100189.0,226.0,43815.69
2002,2.2,92822.0,191.0,35077.16
2015,1.4,53061.0,122.0,26508.69
2010,1.8,108807.0,156.0,34664.29
2007,2.4,132810.0,208.0,39395.02
2012,3.3,33795.0,287.0,59153.89
2009,2.0,102879.0,174.0,28716.61
2015,3.5,178015.0,304.0,59346.94
2018,2.6,152415.0,226.0,38839.65
2020,3.5,138672.0,304.0,55538.52
2019,2.0,151061.0,174.0,31438.81
2022,2.5,91315.0,217.0,45305.25
2022,2.8,84654.0,243.0,49452.78
2022,2.4,183595.0,208.0,42503.5
2007,3.3,161432.0,287.0,50452.45
2003,0.8,82686.0,69.0,16189.61
2023,4.4,26064.0,382.0,73469.32
2009,3.2,83724.0,278.0,54159.24
2007,2.4,147177.0,208.0,37281.76
1995,2.1,87087.0,182.0,35488.79
2019,1.8,136503.0,156.0,33959.52
2001,3.0,190989.0,261.0,42967.6
2003,3.3,115349.0,287.0,50537.52
2018,2.4,131698.0,208.0,39020.12
1995,3.4,154245.0,295.0,49331.55
2006,1.8,65896.0,156.0,29509.58
2002,1.6,81348.0,139.0,27021.9
2018,4.0,156308.0,347.0,61784.18
2005,3.0,121848.0,261.0,45880.43
2013,3.6,126088.0,313.0,55512.51
2011,1.8,121664.0,156.0,27999.79
2002,1.8,168915.0,156.0,27500.48
1997,2.2,141786.0,191.0,33779.87
1997,1.8,142441.0,156.0,20799.04
1995,3.1,181110.0,269.0,47150.84
2021,1.9,200329.0,165.0,35544.69
1999,1.6,232180.0,139.0,18130.16
2004,2.6,91049.0,226.0,42629.62
2001,1.5,243470.0,130.0,18664.96
2020,1.1,65161.0,96.0,23740.54
2003,2.6,216762.0,226.0,38671.17
2022,1.1,88302.0,96.0,24906.05
2001,3.1,116553.0,269.0,45728.94
2003,1.4,120929.0,122.0,20758.77
2002,0.8,76651.0,69.0,12557.0
2006,2.3,124336.0,200.0,38511.93
1996,2.6,79233.0,226.0,35153.91
1995,2.9,58253.0,252.0,43289.24
2010,2.6,118064.0,226.0,45231.46
2017,1.7,199494.0,148.0,30015.24
2017,3.1,107299.0,269.0,54013.08
2018,3.3,167051.0,287.0,53489.84
1999,1.5,77717.0,130.0,20889.12
1997,2.4,55826.0,208.0,36786.39
2006,2.3,142693.0,200.0,34379.83
2002,2.7,207781.0,235.0,43407.68
2016,2.3,130448.0,200.0,38753.91
2021,2.4,161332.0,208.0,42456.85
1997,3.0,194756.0,261.0,45683.56
1995,1.6,118173.0,139.0,20340.09
1997,3.1,112397.0,269.0,41221.56
1999,3.4,143604.0,295.0,51064.48
2009,3.8,152501.0,330.0,60264.0
2008,0.8,50051.0,69.0,15244.23
1997,2.4,134786.0,208.0,32347.03
1995,0.9,119966.0,78.0,12557.46
1999,0.8,80524.0,69.0,12547.1
2020,2.6,116509.0,226.0,45770.46
2017,2.2,61734.0,191.0,37308.3
2008,2.7,44454.0,235.0,45564.88
2001,2.9,123342.0,252.0,45390.72
2021,3.5,165104.0,304.0,54673.88
2003,2.5,102635.0,217.0,41751.03
2009,4.8,71964.0,417.0,76522.07
2009,2.7,79735.0,235.0,46016.62
2020,4.0,147447.0,347.0,62728.49
2004,0.8,203369.0,69.0,12324.09
2022,3.6,158523.0,313.0,56414.35
2007,2.4,185040.0,208.0,34480.28
2013,0.9,67619.0,78.0,19200.73
2001,2.8,116304.0,243.0,41829.39
2011,2.3,170935.0,200.0,36591.81
2014,3.0,50041.0,261.0,54927.46
2023,3.3,87081.0,287.0,57350.85
1998,1.3,167101.0,113.0,19104.08
1999,3.3,132921.0,287.0,48823.6
2017,2.5,71744.0,217.0,43625.94
2001,3.6,38459.0,313.0,54511.78
2007,2.3,186866.0,200.0,35666.41
2009,2.1,17331.0,182.0,41828.58
2005,2.5,151620.0,217.0,38355.56
2023,2.6,93348.0,226.0,46083.24
1998,2.0,172353.0,174.0,30380.9
2007,2.1,67893.0,182.0,36912.61
2001,1.5,250740.0,130.0,20277.87
2021,2.2,140115.0,191.0,38156.77
2013,3.0,148353.0,261.0,50552.08
2016,2.4,81348.0,208.0,41965.42
2022,3.3,113331.0,287.0,58184.7
1996,2.4,114628.0,208.0,33235.48
2004,1.4,209803.0,122.0,18771.27
2007,3.0,140029.0,261.0,46869.46
2019,2.0,147191.0,174.0,32572.47
2015,2.3,146632.0,200.0,37617.36
2000,3.5,151431.0,304.0,49175.58
2022,1.6,50527.0,139.0,29270.77
2022,2.6,222463.0,226.0,47893.53
2006,2.5,76126.0,217.0,39188.9
2006,3.1,118080.0,269.0,47293.89
2014,3.2,196574.0,278.0,50442.81
2005,2.7,216731.0,235.0,37494.38
2020,2.2,160298.0,191.0,36954.99
2017,2.9,94765.0,252.0,52949.9
2022,3.6,126387.0,313.0,61240.12
2019,2.5,128348.0,217.0,44946.03
2001,2.3,130120.0,200.0,37725.82
1995,2.8,58497.0,243.0,42478.14
1995,2.5,183005.0,217.0,33936.23
2019,1.4,126729.0,122.0,23697.48
2021,2.7,83889.0,235.0,47042.91
2019,1.4,95080.0,122.0,27048.05
2014,2.8,133493.0,243.0,44227.98
2007,1.9,49855.0,165.0,35467.88
2003,2.5,163922.0,217.0,39470.41
1997,2.8,131737.0,243.0,42758.44
2001,4.5,198284.0,391.0,65656.31
2000,3.1,123879.0,269.0,44321.87
2002,3.6,65737.0,313.0,58728.04
2021,4.0,60110.0,347.0,68486.39
2003,2.9,100465.0,252.0,46481.75
1999,2.7,105755.0,235.0,41889.05
1995,1.6,91637.0,139.0,23832.18
2013,2.4,126424.0,208.0,43672.21
2004,1.9,90368.0,165.0,29128.53
2006,2.2,132710.0,191.0,33844.66
2018,4.0,93968.0,347.0,69333.75
2009,2.6,151585.0,226.0,41094.86
2021,1.8,104495.0,156.0,33380.86
2016,3.6,182310.0,313.0,56790.45
2018,3.3,152615.0,287.0,55513.04
2003,3.3,129679.0,287.0,49781.32
2014,0.9,109616.0,78.0,17218.9
2011,4.1,44050.0,356.0,68101.24
2011,2.1,190677.0,182.0,33119.4
2020,3.1,85961.0,269.0,51336.92
2014,4.5,124537.0,391.0,71735.17
2006,4.2,137190.0,365.0,67237.23
2001,1.7,110824.0,148.0,27601.78
1996,1.3,187730.0,113.0,19594.07
1997,3.6,58931.0,313.0,53283.16
2011,2.6,206697.0,226.0,42264.43
1999,2.1,153578.0,182.0,28982.82
2011,3.0,107679.0,261.0,46236.66
2018,2.4,108239.0,208.0,40031.03
2011,3.1,9159.0,269.0,52879.03
2021,2.6,77588.0,226.0,48475.44
2011,3.1,102305.0,269.0,50859.45
1996,1.8,128805.0,156.0,25205.64
1996,3.6,182979.0,313.0,49214.96
2022,3.1,221877.0,269.0,51897.16
2016,3.0,133613.0,261.0,51466.72
2017,1.6,130280.0,139.0,29421.12
1999,3.9,95482.0,339.0,56808.15
1995,2.5,34245.0,217.0,39793.3
1995,3.1,89711.0,269.0,48214.58
2013,2.2,109725.0,191.0,40215.26
1996,2.7,168770.0,235.0,37266.68
2015,2.7,145976.0,235.0,45296.51
2006,0.8,131077.0,69.0,12335.14
2020,3.0,90960.0,261.0,49983.49
2000,4.1,20894.0,356.0,67233.08
2017,2.9,23912.0,252.0,52218.77
1998,1.7,36813.0,148.0,29645.83
2017,3.0,105400.0,261.0,48109.97
2005,3.3,169702.0,287.0,50395.12
2018,2.9,168353.0,252.0,48719.32
2021,2.4,159686.0,208.0,39559.59
2011,2.3,94245.0,200.0,41470.03
2000,2.3,177213.0,200.0,32585.52
2018,3.1,73446.0,269.0,53982.53
1999,1.4,162670.0,122.0,18547.26
2014,2.2,36271.0,191.0,36935.35
1996,3.8,61144.0,330.0,59165.39
2000,3.8,202631.0,330.0,55685.9
2016,1.3,109808.0,113.0,25021.61
2005,1.6,85952.0,139.0,25799.7
2010,2.3,175138.0,200.0,36833.19
2010,3.2,180869.0,278.0,52015.72
1995,1.0,98336.0,87.0,12672.31
2003,2.5,133923.0,217.0,39152.11
2022,2.1,126845.0,182.0,38267.21
2021,3.6,0.0,313.0,63081.17
2000,1.2,50207.0,104.0,16427.33
2010,2.6,167113.0,226.0,40810.39
2023,2.2,78370.0,191.0,42294.95
1997,3.7,146492.0,321.0,54558.68
2014,3.0,133152.0,261.0,46073.89
2022,2.0,180772.0,174.0,37579.83
2021,3.2,51810.0,278.0,59373.37
1998,2.2,139710.0,191.0,31664.85
2013,3.3,116729.0,287.0,58192.6
2020,2.3,80511.0,200.0,39885.82
1997,3.3,80160.0,287.0,47159.68
2013,2.8,131374.0,243.0,43566.98
2014,5.1,151484.0,443.0,80473.59
2001,2.5,123180.0,217.0,34149.08
2014,2.8,124736.0,243.0,45444.24
2003,2.1,95075.0,182.0,38842.27
1995,2.5,98391.0,217.0,33530.88
2002,0.8,80376.0,69.0,12404.15
2001,2.9,94070.0,252.0,42426.69
2012,3.6,149734.0,313.0,56358.34
2002,2.8,155320.0,243.0,40989.08
1995,1.4,56206.0,122.0,19826.2
2005,1.9,75178.0,165.0,30818.44
2022,0.8,84480.0,69.0,20660.02
2019,3.3,116798.0,287.0,58139.37
2019,1.7,35842.0,148.0,32816.27
2012,2.5,76055.0,217.0,42220.23
2017,2.4,50721.0,208.0,43731.84
2004,3.7,140024.0,321.0,53704.27
1997,2.6,118516.0,226.0,37869.53
2001,3.1,96873.0,269.0,46366.22
2022,2.9,66836.0,252.0,53397.85
2010,3.6,97645.0,313.0,61161.22
2020,2.3,91765.0,200.0,39703.54
2010,4.0,201733.0,347.0,63460.66
2019,0.9,169851.0,78.0,14947.74
2014,3.2,85465.0,278.0,53519.82
2022,1.8,128260.0,156.0,33846.1
2011,2.1,167210.0,182.0,30564.07
1996,3.0,85449.0,261.0,43112.03
1995,2.9,49144.0,252.0,41994.14
2010,3.0,30157.0,261.0,47757.43
2006,1.4,183613.0,122.0,15880.77
1999,3.7,110447.0,321.0,55016.3
1999,1.8,134566.0,156.0,26091.6
2021,1.9,91288.0,165.0,35330.59
2017,3.0,56605.0,261.0,53336.55
2003,2.3,65935.0,200.0,32941.32
2003,2.7,52948.0,235.0,42436.38
1997,0.8,162500.0,69.0,15022.08
2013,2.7,194628.0,235.0,44355.55
2010,2.7,121862.0,235.0,45324.35
2010,2.1,44110.0,182.0,34340.89
1997,0.8,144829.0,69.0,9961.37
2014,2.3,183249.0,200.0,32522.77
2018,2.5,168583.0,217.0,42817.81
2016,2.2,118543.0,191.0,40624.74
2018,1.0,108276.0,87.0,17786.62
1995,3.8,118142.0,330.0,53266.61
2018,2.0,181262.0,174.0,33809.16
2014,2.3,158018.0,200.0,38073.11
2005,0.8,100712.0,69.0,12795.83
2011,3.8,99454.0,330.0,59230.66
2002,2.1,95915.0,182.0,31042.42
1998,2.6,66768.0,226.0,39697.66
2000,3.4,187592.0,295.0,50433.91
2002,2.0,80609.0,174.0,31543.82
2014,3.3,144514.0,287.0,52871.5
1997,0.9,86929.0,78.0,9862.59
2010,2.9,96139.0,252.0,48880.13
2019,3.8,114306.0,330.0,62779.51
1997,2.0,147262.0,174.0,27567.82
2019,3.4,107039.0,295.0,57528.06
2023,4.0,63040.0,347.0,66653.26
2012,2.3,120954.0,200.0,37280.88
2008,2.2,81666.0,191.0,36580.62
2012,1.8,197192.0,156.0,27209.48
1996,2.1,107003.0,182.0,27277.35
2016,1.8,86602.0,156.0,28972.5
1997,1.8,218740.0,156.0,24408.04
2010,3.5,156944.0,304.0,54531.72
2023,1.9,75161.0,165.0,36398.54
2003,2.7,80454.0,235.0,40172.77
1998,2.5,143709.0,217.0,36240.67
1995,3.7,122174.0,321.0,53130.55
1998,2.1,164509.0,182.0,28500.72
1995,2.8,86866.0,243.0,41182.61
2008,3.1,155055.0,269.0,48585.02
2015,3.7,8086.0,321.0,66343.41
2010,2.1,112278.0,182.0,35764.64
2014,2.0,89141.0,174.0,36739.76
2018,1.7,97248.0,148.0,33727.01
2002,4.3,114856.0,373.0,63690.21
2001,3.6,176925.0,313.0,52292.15
1997,2.5,62298.0,217.0,36250.0
2011,4.0,10598.0,347.0,64715.84
1995,2.4,68097.0,208.0,34905.31
2010,3.1,171122.0,269.0,46770.73
2006,2.5,37750.0,217.0,41834.62
2021,2.8,91403.0,243.0,49882.59
2013,2.7,161979.0,235.0,40803.13
2016,2.2,117079.0,191.0,37237.35
2017,3.4,176435.0,295.0,54044.16
2016,3.1,18255.0,269.0,50939.22
2008,3.3,103920.0,287.0,50865.11
2000,2.8,186859.0,243.0,42027.25
2000,1.8,63656.0,156.0,30096.31
2007,3.9,171740.0,339.0,56107.89
2013,2.3,108215.0,200.0,39682.03
2016,2.8,141706.0,243.0,43292.32
2002,3.0,183233.0,261.0,43269.94
2021,2.8,141492.0,243.0,47543.72
2021,3.2,90438.0,278.0,56597.08
1996,3.4,148103.0,295.0,48720.43
2015,2.3,86910.0,200.0,37853.86
1995,3.8,133668.0,330.0,52820.19
2022,2.3,57408.0,200.0,43070.61
2009,2.8,121455.0,243.0,43382.21
1995,2.2,179465.0,191.0,29151.69
1999,2.0,105062.0,174.0,32059.18
2022,3.3,174685.0,287.0,55660.89
2023,5.0,274671.0,434.0,81162.7
2010,2.2,118553.0,191.0,33987.49
2013,3.5,150710.0,304.0,54234.68
1998,2.2,143843.0,191.0,32145.72
1997,2.5,131255.0,217.0,39937.26
2011,3.9,159395.0,339.0,59291.65
2011,1.6,107595.0,139.0,27680.41
2006,1.4,86873.0,122.0,26324.99
2022,2.4,43684.0,208.0,44584.79
2023,3.0,102862.0,261.0,54464.41
2008,2.9,165072.0,252.0,48701.45
2015,2.8,73010.0,243.0,48276.64
2000,2.5,132334.0,217.0,38089.08
1997,3.1,113845.0,269.0,47229.95
2022,0.8,88964.0,69.0,17470.41
2003,1.9,27348.0,165.0,28788.8
1999,2.4,188143.0,208.0,34214.48
2018,3.1,145860.0,269.0,49976.6
2023,3.7,253264.0,321.0,61090.85
2011,1.8,173971.0,156.0,29487.91
2008,3.7,187027.0,321.0,58247.68
2015,2.1,32532.0,182.0,35766.31
1997,2.4,31658.0,208.0,39294.99
2022,3.0,122116.0,261.0,47035.42
1995,2.3,62594.0,200.0,32263.04
2014,3.4,85936.0,295.0,57320.92
2023,2.2,246313.0,191.0,35657.64
2015,2.2,179494.0,191.0,35155.74
2017,3.3,73217.0,287.0,56095.57
1995,1.9,1694.0,165.0,32850.67
1997,2.7,69003.0,235.0,37145.13
2012,1.2,92140.0,104.0,24745.5
2019,4.0,103937.0,347.0,68711.89
2004,3.5,56048.0,304.0,54360.6
2016,4.7,176493.0,408.0,72505.17
2020,3.6,84427.0,313.0,60759.02
1997,1.6,152429.0,139.0,20826.84
2002,3.0,122694.0,261.0,46307.74
2008,1.8,166924.0,156.0,29089.22
2018,3.8,108104.0,330.0,59632.78
2012,1.6,73751.0,139.0,26926.76
2009,1.6,90071.0,139.0,25080.62
2016,1.2,90776.0,104.0,23912.28
2017,2.1,223228.0,182.0,35646.68
1996,1.9,123825.0,165.0,25042.44
2021,1.5,120232.0,130.0,30461.58
2004,4.1,164101.0,356.0,59761.66
1996,2.9,119997.0,252.0,43774.27
2020,2.8,176084.0,243.0,45987.92
2011,3.8,101396.0,330.0,59928.42
2002,2.7,96318.0,235.0,44076.34
1995,1.9,70986.0,165.0,31813.43
2003,1.1,212502.0,96.0,11192.3
2005,1.9,116509.0,165.0,31274.93
2016,3.7,61298.0,321.0,62140.01
2010,1.5,129841.0,130.0,26501.52
2001,2.8,87497.0,243.0,40239.57
2023,3.3,100520.0,287.0,54815.54
2004,2.7,135538.0,235.0,40047.48
2017,2.8,196049.0,243.0,45571.9
2020,3.0,125079.0,261.0,49492.0
1997,2.8,84448.0,243.0,41348.38
2012,3.8,94754.0,330.0,62942.42
2019,1.7,152822.0,148.0,34496.78
2018,2.7,22083.0,235.0,50004.72
2007,1.0,67866.0,87.0,20136.48
2022,0.8,130632.0,69.0,17851.86
2020,2.4,34667.0,208.0,42333.9
2001,2.9,104374.0,252.0,43583.89
2019,3.8,96087.0,330.0,63231.54
1998,4.4,163872.0,382.0,61996.82
2007,3.6,107486.0,313.0,58136.62
2014,3.1,179335.0,269.0,52211.3
1995,2.6,123944.0,226.0,37681.12
2002,1.3,208823.0,113.0,19987.85
2008,2.4,50626.0,208.0,42524.61
2010,3.5,200856.0,304.0,51403.77
2008,3.2,99444.0,278.0,47486.04
2006,1.5,193697.0,130.0,21357.77
2013,3.0,179262.0,261.0,47666.03
2017,2.9,0.0,252.0,49307.74
2009,2.8,143958.0,243.0,46919.86
2022,2.5,169881.0,217.0,46711.32
1996,3.0,186430.0,261.0,42549.69
1996,3.1,61168.0,269.0,44825.07
2017,2.0,149517.0,174.0,35356.11
2016,2.9,129754.0,252.0,46118.09
2013,2.3,141570.0,200.0,40172.55
2019,1.3,169947.0,113.0,23449.17
2020,2.1,177835.0,182.0,37415.19
2023,1.2,87213.0,104.0,27477.65
2016,3.3,133271.0,287.0,55124.12
2020,2.8,122057.0,243.0,51505.01
2020,2.2,108032.0,191.0,39648.98
2016,3.6,112811.0,313.0,58064.06
2011,2.6,129799.0,226.0,37882.45
2014,1.4,89901.0,122.0,21437.32
2004,2.1,164152.0,182.0,32814.03
2000,3.8,183465.0,330.0,55049.29
2009,2.0,78971.0,174.0,32153.44
2016,2.7,185916.0,235.0,41476.61
2005,3.1,79065.0,269.0,50513.74
2022,3.0,164889.0,261.0,48574.07
1999,4.5,185824.0,391.0,68868.09
1995,1.6,115274.0,139.0,27309.56
2002,1.6,79475.0,139.0,23821.29
2015,1.6,90566.0,139.0,30577.92
2022,2.3,138093.0,200.0,41555.16
2006,3.4,218233.0,295.0,48304.21
2006,1.7,35363.0,148.0,27533.37
1999,3.4,125012.0,295.0,50313.83
2001,2.5,115596.0,217.0,35622.59
1998,1.6,97174.0,139.0,26152.11
2000,1.1,115961.0,96.0,16147.83
2007,1.3,92890.0,113.0,20037.69
2014,2.0,182158.0,174.0,32472.36
2009,2.4,187125.0,208.0,37856.4
1997,3.6,124407.0,313.0,51625.56
2017,3.1,112943.0,269.0,47780.9
2002,1.8,95348.0,156.0,28418.94
2014,2.8,124514.0,243.0,43637.73
2010,3.8,212392.0,330.0,56091.11
2007,4.0,114813.0,347.0,63157.56
2012,2.2,78028.0,191.0,36482.51
2022,3.3,100112.0,287.0,56412.38
2004,3.6,157673.0,313.0,57231.43
2013,1.3,84113.0,113.0,23598.91
2011,2.1,118315.0,182.0,38822.59
2018,4.3,143644.0,373.0,70763.26
2013,2.3,87907.0,200.0,37393.39
2022,0.8,31780.0,69.0,19786.1
2020,2.4,66431.0,208.0,40779.04
2017,3.4,77062.0,295.0,58457.87
2020,2.5,108559.0,217.0,46428.02
1999,3.1,122215.0,269.0,45413.62
2020,3.3,161185.0,287.0,50812.9
2015,2.2,58637.0,191.0,39774.21
2017,2.1,153914.0,182.0,33947.32
2003,2.6,101454.0,226.0,38989.01
2006,2.6,30723.0,226.0,43738.84
2015,2.5,120679.0,217.0,44433.59
1995,2.6,185813.0,226.0,37336.05
2020,1.9,164156.0,165.0,34218.85
2020,3.1,116186.0,269.0,52269.8
1995,3.0,176289.0,261.0,39509.28
2009,1.4,129611.0,122.0,24187.51
1996,2.2,169059.0,191.0,31970.16
2016,2.6,36920.0,226.0,44767.44
2010,2.1,57516.0,182.0,35299.15
2019,3.0,156452.0,261.0,52076.6
2002,2.4,196964.0,208.0,33787.46
2007,2.6,140865.0,226.0,40063.24
2015,2.2,95133.0,191.0,37944.89
1995,0.9,77474.0,78.0,14353.56
2010,0.9,104234.0,78.0,17426.05
2023,3.0,180682.0,261.0,50876.54
2001,2.7,102874.0,235.0,44359.84
1999,2.9,172388.0,252.0,41080.69
2016,2.6,152629.0,226.0,41103.01
2023,2.7,205696.0,235.0,47343.72
2017,3.3,130013.0,287.0,54893.23
1997,2.9,117520.0,252.0,41521.76
2006,3.3,174884.0,287.0,49266.28
2020,2.6,73237.0,226.0,43682.74
2010,2.3,97799.0,200.0,38567.0
2013,2.7,36000.0,235.0,43708.24
1999,1.8,57284.0,156.0,29601.86
2016,2.2,216169.0,191.0,34287.4
2019,2.6,154616.0,226.0,41065.3
2023,2.6,51465.0,226.0,49880.83
2008,2.4,179741.0,208.0,41324.83
2022,1.4,84815.0,122.0,29409.7
1999,3.0,152048.0,261.0,43398.07
2009,3.2,151301.0,278.0,48017.84
2011,3.8,203250.0,330.0,58735.63
2008,2.9,93114.0,252.0,47896.69
2014,2.5,82989.0,217.0,42645.46
1999,1.7,0.0,148.0,30090.88
2006,3.7,113911.0,321.0,60470.15
2010,2.7,156266.0,235.0,40141.87
2020,2.7,163099.0,235.0,46074.93
2020,2.3,182620.0,200.0,35131.88
2010,2.2,134490.0,191.0,33988.99
2015,3.1,145239.0,269.0,51782.44
2001,1.7,123406.0,148.0,25656.4
1998,3.8,155373.0,330.0,52312.24
1995,3.6,73288.0,313.0,55879.12
1999,2.2,49577.0,191.0,33398.06
2017,1.8,78563.0,156.0,34796.42
2020,0.9,130681.0,78.0,20189.68
2004,1.5,54979.0,130.0,23630.38
2016,3.1,88338.0,269.0,53832.95
1999,2.8,89935.0,243.0,43091.61
1998,2.9,159091.0,252.0,42289.23
1996,1.0,153005.0,87.0,12008.18
2014,2.2,123524.0,191.0,34891.55
2004,3.6,142553.0,313.0,53873.92
2020,2.4,143540.0,208.0,40455.19
2013,1.5,101819.0,130.0,28504.27
2020,2.4,92875.0,208.0,39331.36
1995,1.9,196834.0,165.0,27967.16
2018,2.8,0.0,243.0,53501.19
1999,2.5,82935.0,217.0,36851.04
2007,2.9,109811.0,252.0,48700.18
1998,1.5,147998.0,130.0,19111.13
2010,2.1,176775.0,182.0,35242.0
2018,3.4,212837.0,295.0,52377.93
2010,1.4,115414.0,122.0,26220.88
2017,1.7,118763.0,148.0,27793.74
1996,2.7,138131.0,235.0,41089.85
2011,2.7,93444.0,235.0,47141.96
2022,2.1,60788.0,182.0,36609.22
2021,2.3,115187.0,200.0,44474.32
2014,2.9,157269.0,252.0,48822.64
2018,3.2,107854.0,278.0,49751.0
2006,1.6,140672.0,139.0,24279.37
2012,2.8,26559.0,243.0,50047.27
1997,3.7,120920.0,321.0,56009.69
2022,2.4,99828.0,208.0,43275.42
1995,1.6,56244.0,139.0,25970.28
1995,1.6,152861.0,139.0,19900.1
2023,2.4,212282.0,208.0,40576.14
2013,3.3,169498.0,287.0,50532.33
2005,2.5,172687.0,217.0,37911.71
1999,2.7,155624.0,235.0,41379.69
2006,1.7,152323.0,148.0,28075.01
1997,3.3,30028.0,287.0,51429.3
1995,1.6,113602.0,139.0,24629.65
1995,2.1,145433.0,182.0,31464.12
2002,3.0,146570.0,261.0,48603.39
2004,0.9,183585.0,78.0,15348.85
2005,2.6,68380.0,226.0,43167.42
2006,1.7,150364.0,148.0,28430.08
2023,2.5,66748.0,217.0,46233.35
2007,2.2,109415.0,191.0,34797.24
2006,4.2,116902.0,365.0,66701.25
2008,2.2,163129.0,191.0,35800.31
1996,4.0,157248.0,347.0,58420.09
2023,3.0,126017.0,261.0,51444.18
2013,1.9,12398.0,165.0,34633.43
2012,2.8,142242.0,243.0,44201.79
1997,2.3,106616.0,200.0,36490.0
2017,2.7,189590.0,235.0,46267.49
2011,1.9,177675.0,165.0,32585.78
2020,3.9,73099.0,339.0,63680.4
2002,3.2,149109.0,278.0,47175.35
2023,2.5,150096.0,217.0,43103.95
2020,3.9,146459.0,339.0,62699.28
